url,title,summary
https://www.nhk.or.jp/rss/news/cat0.xml,大阪 クリニック放火事件からまもなく1年 遺族が手記公開,大阪のビルでクリニックが放火され、巻き込まれた26人が亡くなった事件からまもなく1年となるのを前に、被害者の遺族2人が報道陣に手記を寄せました。「いまだに現実を受け入れられていません」などと心情を記し、犯罪被害者の遺族への国の支援が十分でない実情を訴えています。
https://www.nhk.or.jp/rss/news/cat0.xml,ワールドカップ 日本 森保監督 今大会の成果と今後の課題は,サッカーのワールドカップカタール大会の決勝トーナメント1回戦で、クロアチアに敗れた日本代表の森保一監督が取材に応じ、成果と今後の課題を振り返りました。
https://www.nhk.or.jp/rss/news/cat0.xml,ロシア空軍基地に“ウクライナ軍の無人機攻撃” 大きな打撃か,ロシア国内の複数の空軍基地で爆発があり、ロシア国防省はウクライナ軍の無人機による攻撃を受けたと発表しました。これらの基地は、ウクライナへのミサイル攻撃にも関わっている戦略上重要な拠点で、ロシア軍にとって大きな打撃になるという見方が出ています。
https://www.nhk.or.jp/rss/news/cat0.xml,サッカー日本代表 たどり着いたもう1つの“新しい景色”,11月20日に開幕したサッカーのワールドカップカタール大会。7回目の出場となった日本代表はこれまでたどり着いたことのないベスト8を目標に掲げて今大会に臨みました。しかし、4回目の挑戦となった今回も決勝トーナメント1回戦でクロアチアに敗退。待ち望んだ「新しい景色」を見ることはかないませんでした。それでも日本にとってはこれまでにない収穫を得た大会となりました。（スポーツニュース部記者 武田善宏）
https://www.nhk.or.jp/rss/news/cat0.xml,北朝鮮 日本海向け約100発砲撃 2日連続 “米韓両軍への警告”,韓国軍は、北朝鮮が6日、日本海に向けておよそ100発の砲撃を行ったと発表しました。5日もおよそ130発の砲撃を行った北朝鮮は、米韓両軍への警告のため2日連続の砲撃を指示したと明らかにしていて、南北間の緊張が続いています。
https://www.nhk.or.jp/rss/news/cat0.xml,園児暴行 裾野市が内部通報資料を公開 見て見ぬふりの職員も,静岡県裾野市の保育園の元保育士3人が園児への暴行の疑いで逮捕された事件。市は6日、保育園の職員会議で配られた内部通報に関する資料を公開し、この中には不適切な行為について、別の職員らが見て見ぬふりをした場面もあったと記されています。
https://www.nhk.or.jp/rss/news/cat0.xml,東名高速で危険な妨害運転を繰り返した疑い 57歳容疑者を逮捕,ことし2月、東名高速道路の横浜市から都内にかけての区間で自分の車を走行中の車の前に無理やり割り込んで止めたり、いきなりバックしたりするなど危険な妨害運転を繰り返したとして、さいたま市の57歳の容疑者が逮捕されました。
https://www.nhk.or.jp/rss/news/cat1.xml,小笠原「海徳海山」“今後 噴火発生の可能性” 火山噴火予知連,周辺で海水の色が変わる現象が確認されている小笠原諸島の海底火山、「海徳海山」について専門家などでつくる火山噴火予知連絡会は、「火山活動の活発化を示すとみられ、今後、噴火が発生する可能性がある」という見解をまとめました。
https://www.nhk.or.jp/rss/news/cat1.xml,園児暴行 裾野市が内部通報資料を公開 見て見ぬふりの職員も,静岡県裾野市の保育園の元保育士3人が園児への暴行の疑いで逮捕された事件。市は6日、保育園の職員会議で配られた内部通報に関する資料を公開し、この中には不適切な行為について、別の職員らが見て見ぬふりをした場面もあったと記されています。
https://www.nhk.or.jp/rss/news/cat1.xml,警戒監視など検証 無人航空機の試験運用へ 海上自衛隊,海上自衛隊は、有人の航空機で行っている警戒監視などの任務を無人機で代替できないか検証するため、来年度から無人航空機の試験運用を行うことを明らかにしました。
https://www.nhk.or.jp/rss/news/cat1.xml,【全文掲載】クリニック放火事件1年を前に遺族が手記,大阪のビルでクリニックが放火され、巻き込まれた26人が亡くなった事件からまもなく1年となるのを前に、被害者の遺族2人が報道陣に手記を寄せました。「いまだに現実を受け入れられていません」などと心情を記し、犯罪被害者の遺族への国の支援が十分でない実情を訴えています。
https://www.nhk.or.jp/rss/news/cat1.xml,地下の工事現場で爆発 作業員2人死亡 東京,6日午前、東京 江戸川区の地下の工事現場で爆発があり、男性作業員が死亡し、さらに別の作業員が地下に取り残され、通報からおよそ6時間後に救助されましたが、搬送された病院で死亡が確認されました。警視庁は爆発が起きた原因などを調べています。
https://www.nhk.or.jp/rss/news/cat1.xml,大阪 クリニック放火事件からまもなく1年 遺族が手記公開,大阪のビルでクリニックが放火され、巻き込まれた26人が亡くなった事件からまもなく1年となるのを前に、被害者の遺族2人が報道陣に手記を寄せました。「いまだに現実を受け入れられていません」などと心情を記し、犯罪被害者の遺族への国の支援が十分でない実情を訴えています。
https://www.nhk.or.jp/rss/news/cat1.xml,レーシングカー開発の経営者 原野に廃棄物捨てた疑いで逮捕,国際的な自動車レースで何度も優勝して、その世界では「モンスター」とも呼ばれ、現在は都内でレース用の車の開発などを手がける経営者が長野県大町市の原野に金属くずなどおよそ5.5トンを捨てるなどした疑いで逮捕されました。
https://www.nhk.or.jp/rss/news/cat1.xml,国家公務員 「指定職」などに占める女性の割合 過去最高に,各府省庁の管理職のうち局長や審議官といった「指定職」に占める女性の割合が、ことし7月時点で、これまでで最も高くなったことがわかりました。
https://www.nhk.or.jp/rss/news/cat1.xml,入院中の宮台真司さん「全く犯人の見当がつかない」と話す,東京 八王子の東京都立大学で、教授で社会学者の宮台真司さんが男に刃物で襲われ重傷を負った事件で、宮台さんと親交の深いジャーナリストの神保哲生さんがNHKの取材に応じ、入院中の宮台さんと直接話した際、本人が「全く犯人の見当がつかない状況だ」と話していたことを明かしました。
https://www.nhk.or.jp/rss/news/cat1.xml,長崎市で住宅7棟焼ける火事 80代含む3人と連絡取れず 確認急ぐ,6日午後、長崎市で住宅7棟が焼ける火事があり、警察によりますと、火元とみられる住宅に住む3人と連絡が取れなくなっているということで、確認を急いでいます。
https://www.nhk.or.jp/rss/news/cat1.xml,東京電力 福島第一原発1号機 格納容器の内部調査半年ぶり再開,福島第一原子力発電所1号機の格納容器内部の調査がおよそ半年ぶりに再開され、東京電力は来年3月にかけて4種類の水中ロボットを投入し、溶けた核燃料と構造物が混じった「燃料デブリ」の可能性が高い堆積物について詳しく調べることにしています。
https://www.nhk.or.jp/rss/news/cat1.xml,東名高速で危険な妨害運転を繰り返した疑い 57歳容疑者を逮捕,ことし2月、東名高速道路の横浜市から都内にかけての区間で自分の車を走行中の車の前に無理やり割り込んで止めたり、いきなりバックしたりするなど危険な妨害運転を繰り返したとして、さいたま市の57歳の容疑者が逮捕されました。
https://www.nhk.or.jp/rss/news/cat1.xml,元保育士逮捕で臨時休園の保育園が再開 転園相談も 静岡 裾野,静岡県裾野市の保育園で、元保育士3人が園児に虐待をしたとして暴行の疑いで逮捕された事件を受けて、臨時休園になっていた保育園が6日から再開し、保護者からは子どもたちへの影響を懸念する声が聞かれました。
https://www.nhk.or.jp/rss/news/cat1.xml,木村花さんの母親がフジテレビなど提訴「テラスハウス」問題で,フジテレビの番組「テラスハウス」に出演していたプロレスラーの木村花さんが、SNS上でひぼう中傷を受け、命を絶った問題で、花さんの母親が「制作や放送にあたって出演者の健康や名誉に配慮する義務を怠った」などと主張して、フジテレビと制作会社に対し1億4000万円余りの損害賠償を求める訴えを起こしました。
https://www.nhk.or.jp/rss/news/cat1.xml,NHK次期会長 稲葉延雄氏が会見 “確かな情報で国民の信頼を”,NHKの次期会長に決まった稲葉延雄氏が記者会見し、NHKが視聴者・国民の信頼を得ていくためには、公正・公平で、確かな情報や質の高い番組を提供していくことが重要だとして、組織の先頭に立って取り組む決意を示しました。
https://www.nhk.or.jp/rss/news/cat1.xml,障害者支援施設で入所者を裸で長時間放置 虐待繰り返す 北海道,北海道の西興部村にある障害者支援施設で、ことし5月から6月にかけて6人の職員が入所者に対し、裸で長時間放置するなどの虐待を繰り返していたことがわかりました。
https://www.nhk.or.jp/rss/news/cat1.xml,ドローンで郵便配達 2023年度から本格的に導入へ 日本郵便,日本郵便は、ドローンを使った郵便配達を2023年度から本格的に始める方針を明らかにしました。人手が不足する山間部や離島から導入するとしています。
https://www.nhk.or.jp/rss/news/cat1.xml,「ポカリスエット」来年4月値上げへ 約23年ぶり 大塚製薬,大塚製薬は、主力の飲料「ポカリスエット」を来年4月1日の納品分から値上げします。値上げは2000年以来、およそ23年ぶりです。
https://www.nhk.or.jp/rss/news/cat1.xml,「大学入学共通テスト」志願者は51万人余に 前年より減少,来月実施される「大学入学共通テスト」の志願者数は、前の年より1万7000人余り少ない51万人余りとなりました。今回は相次ぐ不正行為への対策として、スマートフォンなどを使用していないか厳格に確認することにしています。
https://www.nhk.or.jp/rss/news/cat1.xml,大阪府 新型コロナ 新たに7956人感染確認,厚生労働省は6日、大阪府内で新たに7956人が新型コロナウイルスに感染していることを確認したと発表しました。これで大阪府内の感染者の累計は232万352人となりました。一方、亡くなった人の発表はありませんでした。府内で感染して亡くなった人は合わせて6783人です。重症者は、5日と変わらず33人です。
https://www.nhk.or.jp/rss/news/cat1.xml,【新型コロナ 厚労省まとめ】147人死亡 13万7193人感染 (6日),厚生労働省によりますと、6日発表した国内の新たな感染者は空港の検疫などを含め13万7193人となっています。また国内で亡くなった人は、北海道で21人、東京都で19人、埼玉県で9人、福島県で9人、長野県で8人、新潟県で6人、茨城県で6人、福岡県で5人、青森県で5人、千葉県で4人、奈良県で4人、宮城県で4人、愛媛県で4人、香川県で4人、京都府で3人、岡山県で3人、岩手県で3人、滋賀県で3人、鳥取県で3人、富山県で2人、徳島県で2人、愛知県で2人、熊本県で2人、福井県で2人、秋田県で2人、三重県で1人、佐賀県で1人、山口県で1人、山形県で1人、山梨県で1人、島根県で1人、広島県で1人、栃木県で1人、石川県で1人、群馬県で1人、静岡県で1人、高知県で1人の合わせて147人、累計で5万608人となっています。
https://www.nhk.or.jp/rss/news/cat1.xml,東京都 新型コロナ 19人死亡 1万5501人感染確認 前週比821人増,厚生労働省は6日、都内で新たに1万5501人が新型コロナウイルスに感染していることを確認したと発表しました。1週間前の火曜日より821人増えました。また、人工呼吸器かECMO＝人工心肺装置を使っている重症の患者はきのうより1人減り21人でした。一方、感染が確認された19人が死亡しました。
https://www.nhk.or.jp/rss/news/cat1.xml,人気飲食店 経営者の女性殺害か 娘夫婦を逮捕 沖縄 那覇,ことし8月、那覇市の繁華街で飲食店を経営していた58歳の女性を殺害したとして、女性の娘とその夫が6日に警察に逮捕されました。この飲食店は、地元客や観光客でにぎわう人気店でした。
https://www.nhk.or.jp/rss/news/cat1.xml,秋葉復興相 公選法違反疑いで告発状「コメントしようがない」,去年の衆議院選挙で公設秘書に報酬を支払っていたことが公職選挙法に違反する疑いがあるとして大学教授から告発状が出されたことについて、秋葉復興大臣は「告発状を見ていないのでコメントしようがない」と述べました。
https://www.nhk.or.jp/rss/news/cat1.xml,水俣病の患者団体 未実施の住民健康調査 早期実施など国に要望,水俣病をめぐり、国が今後実施するとしている住民の健康調査について、6日、患者などで作る団体が国に対し、地元の医師などと連携して早期に調査を実施することなどを要望しました。
https://www.nhk.or.jp/rss/news/cat1.xml,“こども予算の倍増へ 少子化対策プラン策定を” 自民調査会,「こども予算」の倍増に向けて、自民党の少子化対策調査会は年次目標や財政措置をまとめた新たな少子化対策プランの策定を求める提言をまとめました。
https://www.nhk.or.jp/rss/news/cat1.xml,詐欺容疑の消防隊員 自宅から消防署保管の高齢者リスト押収,東京消防庁の20代の隊員が高齢女性に対し実の弟を装って現金をだましとったとして逮捕された事件で、東京消防庁は、隊員の自宅から災害時に支援が必要な高齢者のリストが押収されていたことを明らかにしました。リストは隊員が勤める消防署に保管されていたもので、警視庁が詳しいいきさつを調べています。
https://www.nhk.or.jp/rss/news/cat1.xml,福島の除染土 再生利用実証事業を埼玉 所沢でも計画 環境省,福島県内の除染で出た土を再生利用できるかどうか確かめる実証事業を、環境省は埼玉県所沢市で行う計画を明らかにしました。福島県外で実証事業が計画されるのは初めてです。
https://www.nhk.or.jp/rss/news/cat1.xml,“村神様”や英国女王 サッカーも ことしの顔が「羽子板」に,ことし話題になった人たちを題材にしたこの時期恒例の「変わり羽子板」が発表されました。プロ野球の村上宗隆選手などの羽子板のほか、サッカーワールドカップの日本代表をたたえる羽子板も急きょ制作され、披露されました。
https://www.nhk.or.jp/rss/news/cat1.xml,障害者週間にあわせ弁護士が無料相談会「障害者の人権110番」,障害のある人やその家族などからの相談に弁護士が無料で応じる、「障害者の人権110番」が行われています。
https://www.nhk.or.jp/rss/news/cat1.xml,東京 足立区のサイトに誘拐予告の疑い 22歳の容疑者を再逮捕,ことし6月、東京 足立区のインターネットサイトに「幼稚園児および女子学生を誘拐する」と、犯行予告を投稿したなどとして、横浜市の22歳の容疑者が再逮捕されました。同様のメールは、ことしの春以降、全国の600余りの自治体に送られていることが確認されていて、警視庁が関連を調べています。
https://www.nhk.or.jp/rss/news/cat1.xml,保育士の園児暴行事件受け全国の保育現場など実態調査を検討へ,静岡県裾野市の保育園の元保育士3人が園児への暴行の疑いで逮捕された事件を受けて、加藤厚生労働大臣は早急に全国の自治体や保育現場に注意喚起を行うとともに、実態調査を検討する考えを示しました。
https://www.nhk.or.jp/rss/news/cat1.xml,民族衣装やゆしたブログ削除「配慮欠いた表現」杉田総務政務官,杉田総務政務官は、民族衣装をやゆするなどした6年前のブログの記事について「配慮を欠いた表現を反省している」としたうえで、すでに削除したことを明らかにしました。
https://www.nhk.or.jp/rss/news/cat1.xml,男性の国家公務員 育休の取得率34％に 政府目標上回る,男性の国家公務員が昨年度、新たに育児休業を取得した割合は34％と政府が目標とする30％を上回ったことがわかりました。
https://www.nhk.or.jp/rss/news/cat1.xml,旧統一教会信者どうし養子縁組み 2018年以降31件 厚労省に回答,旧統一教会で行われてきた信者どうしの養子縁組みをめぐり、厚生労働省が教団に出した質問書に対する回答が5日届きました。養子縁組みのあっせん事業が許可制になった2018年以降の縁組みは31件あったということで、厚生労働省は回答の内容を精査したうえで、今後の対応を検討するとしています。
https://www.nhk.or.jp/rss/news/cat1.xml,10月の実質賃金 前年同月を2.6％下回り7か月連続のマイナスに,物価の変動分を反映した働く人1人当たりのことし10月の実質賃金は、去年10月を2.6％下回り7か月連続のマイナスとなりました。マイナス幅が2％を超えるのは、新型コロナウイルスの影響で給与総額が落ち込んだ令和2年の6月以来です。
