url,title,summary
http://feeds.bbci.co.uk/news/rss.xml,Conservative peer Michelle Mone to take leave of absence from Lords,Baroness Mone is accused of benefitting from a company she recommended for a Covid contract.
http://feeds.bbci.co.uk/news/rss.xml,Ambulance staff to strike on 21 December,"Services across England and Wales affected, but life-threatening calls will be responded to."
http://feeds.bbci.co.uk/news/rss.xml,Strep A schools may be given preventive antibiotics,The drugs would be used to stop more cases of the bacterial infection that has killed some children.
http://feeds.bbci.co.uk/news/rss.xml,Eddie Jones sacked by England after review into poor run of form,"England sack Eddie Jones, leaving the team without a head coach nine months before the Rugby World Cup."
http://feeds.bbci.co.uk/news/rss.xml,Tattooists and beauty salons replace banks on High Streets,More takeaways are also part of the changing face of the High Street as revealed in BBC analysis of data.
http://feeds.bbci.co.uk/news/rss.xml,December train strikes: Union told not to hold country 'to ransom',The new Christmas Eve walkout threatens to hit celebrations and travel over the festive weekend.
http://feeds.bbci.co.uk/news/rss.xml,Harry and Meghan's Netflix trailers criticised over 'misleading' clips,There are at least five allegations of footage or stills being used in editorially questionable ways.
http://feeds.bbci.co.uk/news/rss.xml,King Charles: Man arrested after reports egg thrown in monarch's direction,The alleged incident happened while the monarch was on a walkabout during a visit to Luton.
http://feeds.bbci.co.uk/news/rss.xml,Ukraine war: Russian missile strikes force emergency power shutdowns,President Zelensky says Ukraine's power grid needs to be stabilised after another wave of deadly Russian strikes.
http://feeds.bbci.co.uk/news/rss.xml,Indonesia will ban premarital sex for citizens and tourists,"The new laws will disproportionately punish women, LGBT people and religious minorities, critics say."
http://feeds.bbci.co.uk/news/rss.xml,Harry Dunn: US driver will not attend sentencing in person,An application for Anne Sacoolas to appear at the Old Bailey for sentencing via video-link is granted.
http://feeds.bbci.co.uk/news/rss.xml,Mum-of-seven starts baby bank in Walsall and helps hundreds,Kimberley set up Tots in Need during a Covid lockdown after seeing a need for baby banks in Walsall.
http://feeds.bbci.co.uk/news/rss.xml,Five ways to spend and waste less this Christmas,"Experts give tips on how to make your Christmas cheaper, greener and just as joyful."
http://feeds.bbci.co.uk/news/rss.xml,Cost of Living: How to have a Christmas party on a budget,"With money tight, there are ways you can organise a Christmas party without the financial hangover."
http://feeds.bbci.co.uk/news/rss.xml,Cost of living: The Leeds food bank making every user feel valued,The Cultural Food Hub is making sure each bag given matches the needs of the person receiving it.
http://feeds.bbci.co.uk/news/rss.xml,Cost of living: 'No-one likes us. We DO care. We are Millwall',Football clubs are supporting their communities as costs rise - from food banks to debt advice.
http://feeds.bbci.co.uk/news/rss.xml,Mortgages: What happens if I miss a payment?,Homeowners are worried about rising mortgage costs - but lenders must help those struggling.
http://feeds.bbci.co.uk/news/rss.xml,Mortgage calculator: how much will my mortgage go up?,Use our calculator to find out how much mortgage payments could go up for your household.
